,Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Min Price,Max Price,Price,Pets,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry,Date,Latitude,Longitude,Url
51,1265 Cardero Street,West End Apartments,"1265 Cardero St, Vancouver, BC V6G 2J2",Vancouver,2 Bedroom,2,1.0,982,3749,3749,3749.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.28438237968115,-123.1400485328545,https://www.padmapper.com/buildings/p430665/apartments-at-1265-cardero-st-vancouver-bc-v6g-2j2
52,Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C5,1,1.0,657,3680,3680,3680.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.29012732507233,-123.1290959286057,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3
53,Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,I1,2,2.0,921,4424,4424,4424.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.29012732507233,-123.1290959286057,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3
54,Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,I1,2,2.0,921,4558,4558,4558.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.29012732507233,-123.1290959286057,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3
55,Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00315,1,1.0,505,2395,2395,2395.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2024-04-19 04:59:19.228,49.28092139621007,-123.1364830138586,https://www.padmapper.com/buildings/p263578/barafield-apartments-at-1260-harwood-st-vancouver-bc-v6e-1s4
56,Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00514,1,1.0,456,2400,2400,2400.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2024-04-19 04:59:19.228,49.28092139621007,-123.1364830138586,https://www.padmapper.com/buildings/p263578/barafield-apartments-at-1260-harwood-st-vancouver-bc-v6e-1s4
57,Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00517,1,1.0,456,2495,2495,2495.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2024-04-19 04:59:19.228,49.28092139621007,-123.1364830138586,https://www.padmapper.com/buildings/p263578/barafield-apartments-at-1260-harwood-st-vancouver-bc-v6e-1s4
58,Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00312,1,1.0,465,2750,2750,2750.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2024-04-19 04:59:19.228,49.28092139621007,-123.1364830138586,https://www.padmapper.com/buildings/p263578/barafield-apartments-at-1260-harwood-st-vancouver-bc-v6e-1s4
59,Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00403,1,1.0,462,2750,2750,2750.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2024-04-19 04:59:19.228,49.28092139621007,-123.1364830138586,https://www.padmapper.com/buildings/p263578/barafield-apartments-at-1260-harwood-st-vancouver-bc-v6e-1s4
60,Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00714,1,1.0,456,2750,2750,2750.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2024-04-19 04:59:19.228,49.28092139621007,-123.1364830138586,https://www.padmapper.com/buildings/p263578/barafield-apartments-at-1260-harwood-st-vancouver-bc-v6e-1s4
