Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Pets,Price,Latitude,Longitude,Date,Url,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
8675 French,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan F,1,1.0,453.0,1,2200,49.20747848476663,-123.13930776333687,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220475/apartments-at-8675-french-st-vancouver-bc-v6p-4w5,0,0,0,0,0,1,0,0,1,0,1,0,0
8675 French,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan B,1,1.0,644.0,1,2349,49.20747848476663,-123.13930776333687,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220475/apartments-at-8675-french-st-vancouver-bc-v6p-4w5,0,0,0,0,0,1,0,0,1,0,1,0,0
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,One Bedroom 101,1,1.0,625.0,1,2700,49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7,1,0,1,0,0,1,0,0,1,0,1,0,0
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,One Bedroom 410,1,1.0,680.0,1,2800,49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7,1,0,1,0,0,1,0,0,1,0,1,0,0
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,Two Bedroom 302,2,1.0,810.0,1,3500,49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7,1,0,1,0,0,1,0,0,1,0,1,0,0
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,Two Bedroom 415,2,1.0,900.0,1,3700,49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7,1,0,1,0,0,1,0,0,1,0,1,0,0
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,Two Bedroom 411,2,1.0,900.0,1,3950,49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7,1,0,1,0,0,1,0,0,1,0,1,0,0
1918 York Ave,Kitsilano Apartments,"1918 York Ave, Vancouver, BC V6J 1E3",Vancouver,One Bedroom 102,1,1.0,560.0,1,2700,49.27154273730451,-123.14851763800029,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p561030/apartments-at-1918-york-ave-vancouver-bc-v6j-1e3,0,0,1,0,0,1,0,0,1,0,0,0,0
1918 York Ave,Kitsilano Apartments,"1918 York Ave, Vancouver, BC V6J 1E3",Vancouver,Two Berdoom 204,2,1.0,800.0,1,3500,49.27154273730451,-123.14851763800029,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p561030/apartments-at-1918-york-ave-vancouver-bc-v6j-1e3,0,0,1,0,0,1,0,0,1,0,0,0,0
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,1,1.0,580.0,1,2950,49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5,0,0,0,0,0,0,0,0,0,1,0,0,0
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Aprtment,2,1.0,681.0,1,3450,49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5,0,0,0,0,0,0,0,0,0,1,0,0,0
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,2,1.0,707.0,1,3675,49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5,0,0,0,0,0,0,0,0,0,1,0,0,0
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,3,1.0,811.0,1,4500,49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5,0,0,0,0,0,0,0,0,0,1,0,0,0
